Time,Indicator,Amount
2000-06-01,Capital Expenditure,18584.0
2000-07-01,Capital Expenditure,1360.0
2000-08-01,Capital Expenditure,1909.0
2000-09-01,Capital Expenditure,5450.0
2000-10-01,Capital Expenditure,7396.0
2000-11-01,Capital Expenditure,9646.0
2000-12-01,Capital Expenditure,12707.0
2001-01-01,Capital Expenditure,13659.0
2001-02-01,Capital Expenditure,14807.0
2001-03-01,Capital Expenditure,22196.0
2001-04-01,Capital Expenditure,23466.0
2001-05-01,Capital Expenditure,28892.0
2001-06-01,Capital Expenditure,33980.0
2001-07-01,Capital Expenditure,1007.0
2001-08-01,Capital Expenditure,3542.0
2001-09-01,Capital Expenditure,4609.0
2001-10-01,Capital Expenditure,6140.0
2001-11-01,Capital Expenditure,7676.0
2001-12-01,Capital Expenditure,8551.0
2002-01-01,Capital Expenditure,10555.0
2002-02-01,Capital Expenditure,12057.0
2002-03-01,Capital Expenditure,13467.0
2002-04-01,Capital Expenditure,15218.0
2002-05-01,Capital Expenditure,20459.0
2002-06-01,Capital Expenditure,24953.0
2002-07-01,Capital Expenditure,1780.0
2002-08-01,Capital Expenditure,5340.0
2002-09-01,Capital Expenditure,7985.0
2002-10-01,Capital Expenditure,9576.0
2002-11-01,Capital Expenditure,12757.0
2002-12-01,Capital Expenditure,14794.0
2003-01-01,Capital Expenditure,17438.0
2003-02-01,Capital Expenditure,19240.5
2003-03-01,Capital Expenditure,21043.0
2003-04-01,Capital Expenditure,29145.0
2003-05-01,Capital Expenditure,35248.0
2003-06-01,Capital Expenditure,43526.0
2003-07-01,Capital Expenditure,2438.0
2003-08-01,Capital Expenditure,6756.0
2003-09-01,Capital Expenditure,7676.0
2003-10-01,Capital Expenditure,8740.0
2003-11-01,Capital Expenditure,11742.0
2003-12-01,Capital Expenditure,14910.0
2004-01-01,Capital Expenditure,16894.0
2004-02-01,Capital Expenditure,20046.0
2004-03-01,Capital Expenditure,22039.0
2004-04-01,Capital Expenditure,25615.0
2004-05-01,Capital Expenditure,27028.0
2004-06-01,Capital Expenditure,37711.0
2004-07-01,Capital Expenditure,3160.0
2004-08-01,Capital Expenditure,4162.0
2004-09-01,Capital Expenditure,7661.0
2004-10-01,Capital Expenditure,9516.0
2004-11-01,Capital Expenditure,13593.5
2004-12-01,Capital Expenditure,14922.0
2005-01-01,Capital Expenditure,21388.0
2005-02-01,Capital Expenditure,24158.0
2005-03-01,Capital Expenditure,25268.0
2005-04-01,Capital Expenditure,29621.0
2005-05-01,Capital Expenditure,35328.0
2005-06-01,Capital Expenditure,45627.0
2005-07-01,Capital Expenditure,3533.0
2005-08-01,Capital Expenditure,8785.0
2005-09-01,Capital Expenditure,13458.0
2005-10-01,Capital Expenditure,16821.0
2005-11-01,Capital Expenditure,19157.0
2005-12-01,Capital Expenditure,23847.0
2006-01-01,Capital Expenditure,30397.0
2006-02-01,Capital Expenditure,34745.0
2006-03-01,Capital Expenditure,41437.0
2006-04-01,Capital Expenditure,44350.0
2006-05-01,Capital Expenditure,53415.0
2006-06-01,Capital Expenditure,60301.0
2006-07-01,Capital Expenditure,372.0
2006-08-01,Capital Expenditure,8824.0
2006-09-01,Capital Expenditure,13901.0
2006-10-01,Capital Expenditure,19034.0
2006-11-01,Capital Expenditure,25858.4
2006-12-01,Capital Expenditure,30276.9
2007-01-01,Capital Expenditure,36409.0
2007-02-01,Capital Expenditure,41924.0
2007-03-01,Capital Expenditure,53094.0
2007-04-01,Capital Expenditure,57472.0
2007-05-01,Capital Expenditure,65153.0
2007-06-01,Capital Expenditure,81053.0
2007-07-01,Capital Expenditure,2751.0
2007-08-01,Capital Expenditure,13432.0
2007-09-01,Capital Expenditure,16275.0
2007-10-01,Capital Expenditure,31232.0
2007-11-01,Capital Expenditure,45560.0
2007-12-01,Capital Expenditure,51723.0
2008-01-01,Capital Expenditure,61951.0
2008-02-01,Capital Expenditure,67992.0
2008-03-01,Capital Expenditure,75538.0
2008-04-01,Capital Expenditure,80757.0
2008-05-01,Capital Expenditure,96341.0
2008-06-01,Capital Expenditure,131473.0
2008-07-01,Capital Expenditure,3320.0
2008-08-01,Capital Expenditure,18231.0
2008-09-01,Capital Expenditure,19580.0
2008-10-01,Capital Expenditure,39172.0
2008-11-01,Capital Expenditure,46067.0
2008-12-01,Capital Expenditure,57006.0
2009-01-01,Capital Expenditure,62947.0
2009-02-01,Capital Expenditure,80486.0
2009-03-01,Capital Expenditure,81512.0
2009-04-01,Capital Expenditure,104985.0
2009-05-01,Capital Expenditure,122203.0
2009-06-01,Capital Expenditure,160177.0
2009-07-01,Capital Expenditure,9393.0
2009-08-01,Capital Expenditure,21636.0
2009-09-01,Capital Expenditure,39021.0
2009-10-01,Capital Expenditure,45920.0
2009-11-01,Capital Expenditure,52297.0
2009-12-01,Capital Expenditure,61284.0
2010-01-01,Capital Expenditure,91807.0
2010-02-01,Capital Expenditure,108304.0
2010-03-01,Capital Expenditure,121194.0
2010-04-01,Capital Expenditure,152487.0
2010-05-01,Capital Expenditure,175633.0
2010-06-01,Capital Expenditure,255398.0
2010-07-01,Capital Expenditure,174.0
2010-08-01,Capital Expenditure,26364.0
2010-09-01,Capital Expenditure,39741.0
2010-10-01,Capital Expenditure,62550.0
2010-11-01,Capital Expenditure,79574.0
2010-12-01,Capital Expenditure,83192.7
2011-01-01,Capital Expenditure,113899.5
2011-02-01,Capital Expenditure,133862.0
2011-03-01,Capital Expenditure,149889.0
2011-04-01,Capital Expenditure,168499.0
2011-05-01,Capital Expenditure,188257.0
2011-06-01,Capital Expenditure,234566.0
2011-07-01,Capital Expenditure,5315.0
2011-08-01,Capital Expenditure,17480.0
2011-09-01,Capital Expenditure,43150.0
2011-10-01,Capital Expenditure,59731.0
2011-11-01,Capital Expenditure,76384.0
2011-12-01,Capital Expenditure,114993.0
2012-01-01,Capital Expenditure,137335.6
2012-02-01,Capital Expenditure,160518.0
2012-03-01,Capital Expenditure,190752.0
2012-04-01,Capital Expenditure,202878.0
2012-05-01,Capital Expenditure,231574.0
2012-06-01,Capital Expenditure,276819.0
2012-07-01,Capital Expenditure,9888.6
2012-08-01,Capital Expenditure,38321.0
2012-09-01,Capital Expenditure,64219.8
2012-10-01,Capital Expenditure,80694.5
2012-11-01,Capital Expenditure,99938.0
2012-12-01,Capital Expenditure,120930.1
2013-01-01,Capital Expenditure,151162.2
2013-02-01,Capital Expenditure,159151.4
2013-03-01,Capital Expenditure,197661.2
2013-04-01,Capital Expenditure,218169.5
2013-05-01,Capital Expenditure,248051.6
2013-06-01,Capital Expenditure,443721.0
2013-07-01,Capital Expenditure,175.3
2013-08-01,Capital Expenditure,7281.2
2013-09-01,Capital Expenditure,38125.3
2013-10-01,Capital Expenditure,59077.8
2013-11-01,Capital Expenditure,86160.5
2013-12-01,Capital Expenditure,110801.0
2014-01-01,Capital Expenditure,124805.6
2014-02-01,Capital Expenditure,158805.9
2014-03-01,Capital Expenditure,172084.7
2014-04-01,Capital Expenditure,209478.7
2014-05-01,Capital Expenditure,237985.2
2014-06-01,Capital Expenditure,291279.9
2014-07-01,Capital Expenditure,2459.6
2014-08-01,Capital Expenditure,11949.2
2014-09-01,Capital Expenditure,33099.7
2014-10-01,Capital Expenditure,73235.8
2014-11-01,Capital Expenditure,117740.2
2014-12-01,Capital Expenditure,146495.6
2015-01-01,Capital Expenditure,196861.2
2015-02-01,Capital Expenditure,212885.9
2015-03-01,Capital Expenditure,375413.1
2015-04-01,Capital Expenditure,399083.8
2015-05-01,Capital Expenditure,420084.2
2015-06-01,Capital Expenditure,511822.1
2015-07-01,Capital Expenditure,5155.9
2015-08-01,Capital Expenditure,29772.6
2015-09-01,Capital Expenditure,41218.7
2015-10-01,Capital Expenditure,57472.5
2015-11-01,Capital Expenditure,159564.9
2015-12-01,Capital Expenditure,193030.0
2016-01-01,Capital Expenditure,224147.7
2016-02-01,Capital Expenditure,246270.4
2016-03-01,Capital Expenditure,297263.1
2016-04-01,Capital Expenditure,337848.0
2016-05-01,Capital Expenditure,363870.5
2016-06-01,Capital Expenditure,483601.2
2016-07-01,Capital Expenditure,1579.7
2016-08-01,Capital Expenditure,6147.5
2016-09-01,Capital Expenditure,81751.5
2016-10-01,Capital Expenditure,130708.6
2016-11-01,Capital Expenditure,225436.7
2016-12-01,Capital Expenditure,251623.0
2017-01-01,Capital Expenditure,333425.7
2017-02-01,Capital Expenditure,379645.4
2017-03-01,Capital Expenditure,441360.1
2017-04-01,Capital Expenditure,530711.3
2017-05-01,Capital Expenditure,559397.1
2017-06-01,Capital Expenditure,660000.9
2017-07-01,Capital Expenditure,5748.5
2017-08-01,Capital Expenditure,24275.4
2017-09-01,Capital Expenditure,57713.2
2017-10-01,Capital Expenditure,121796.4
2017-11-01,Capital Expenditure,143302.5
2017-12-01,Capital Expenditure,209797.7
2018-01-01,Capital Expenditure,209851.2
2018-02-01,Capital Expenditure,277073.9
2018-03-01,Capital Expenditure,341079.4
2018-04-01,Capital Expenditure,366067.3
2018-05-01,Capital Expenditure,392982.3
2018-06-01,Capital Expenditure,485673.1
2018-07-01,Capital Expenditure,2203.7
2018-08-01,Capital Expenditure,36083.0
2018-09-01,Capital Expenditure,83554.7
2018-10-01,Capital Expenditure,130301.0
2018-11-01,Capital Expenditure,234868.9
2018-12-01,Capital Expenditure,311881.8
2019-01-01,Capital Expenditure,328606.7
2019-02-01,Capital Expenditure,364473.9
2019-03-01,Capital Expenditure,384915.9
2019-04-01,Capital Expenditure,419126.9
2019-05-01,Capital Expenditure,477427.1
2019-06-01,Capital Expenditure,529195.3
2019-07-01,Capital Expenditure,4732.1
2019-08-01,Capital Expenditure,17036.4
2019-09-01,Capital Expenditure,95900.5
2019-10-01,Capital Expenditure,129884.0
2019-11-01,Capital Expenditure,183616.8
2019-12-01,Capital Expenditure,268145.2
2020-01-01,Capital Expenditure,335160.3
2020-02-01,Capital Expenditure,360573.4
2020-03-01,Capital Expenditure,471960.0
2020-04-01,Capital Expenditure,426550.3
2020-05-01,Capital Expenditure,470374.8
2020-06-01,Capital Expenditure,594943.7
2020-07-01,Capital Expenditure,4583.7
2020-08-01,Capital Expenditure,54222.4
2020-09-01,Capital Expenditure,122057.3
2020-10-01,Capital Expenditure,137306.9
2020-11-01,Capital Expenditure,185611.9
2020-12-01,Capital Expenditure,262777.6
2021-01-01,Capital Expenditure,246798.4
2021-02-01,Capital Expenditure,275516.4
2021-03-01,Capital Expenditure,369948.0
2021-04-01,Capital Expenditure,399474.9
2021-05-01,Capital Expenditure,436793.4
2021-06-01,Capital Expenditure,548531.2
2021-07-01,Capital Expenditure,6252.0
2021-08-01,Capital Expenditure,52459.2
2021-09-01,Capital Expenditure,116952.0
2021-10-01,Capital Expenditure,150064.8
2021-11-01,Capital Expenditure,192970.6
2021-12-01,Capital Expenditure,234688.6
2022-01-01,Capital Expenditure,256755.1
2022-02-01,Capital Expenditure,300874.3
2022-03-01,Capital Expenditure,362747.1
2022-04-01,Capital Expenditure,410488.3
2022-05-01,Capital Expenditure,440489.7
2022-06-01,Capital Expenditure,535782.4
2022-07-01,Capital Expenditure,5583.3
2022-08-01,Capital Expenditure,40448.9
2022-09-01,Capital Expenditure,115885.5
2022-10-01,Capital Expenditure,128367.0
2022-11-01,Capital Expenditure,148962.7
2022-12-01,Capital Expenditure,206295.9
2023-01-01,Capital Expenditure,234827.2
2023-02-01,Capital Expenditure,261694.7
2023-03-01,Capital Expenditure,321059.1
2023-04-01,Capital Expenditure,314303.2
2023-05-01,Capital Expenditure,324719.9
2023-06-01,Capital Expenditure,493663.3
2023-07-01,Capital Expenditure,8309.1
2023-08-01,Capital Expenditure,32540.4
2023-09-01,Capital Expenditure,124566.6
2023-10-01,Capital Expenditure,96023.9
2023-11-01,Capital Expenditure,132409.8
2023-12-01,Capital Expenditure,265916.0
2024-01-01,Capital Expenditure,235068.2
2024-02-01,Capital Expenditure,312074.4
2024-03-01,Capital Expenditure,360073.9
2024-04-01,Capital Expenditure,404478.0
2024-05-01,Capital Expenditure,440722.5
2024-06-01,Capital Expenditure,546385.0
2024-07-01,Capital Expenditure,10656.7
2024-08-01,Capital Expenditure,44274.4
2024-09-01,Capital Expenditure,115440.8
2024-10-01,Capital Expenditure,142114.7
2024-11-01,Capital Expenditure,191154.6
2024-12-01,Capital Expenditure,232041.5
2025-01-01,Capital Expenditure,290101.4
2000-06-01,Expenditure,175119.0
2000-07-01,Expenditure,15418.0
2000-08-01,Expenditure,31669.0
2000-09-01,Expenditure,49810.0
2000-10-01,Expenditure,69785.0
2000-11-01,Expenditure,85948.0
2000-12-01,Expenditure,104912.0
2001-01-01,Expenditure,123391.0
2001-02-01,Expenditure,142028.0
2001-03-01,Expenditure,166023.0
2001-04-01,Expenditure,187699.0
2001-05-01,Expenditure,208360.0
2001-06-01,Expenditure,232921.0
2001-07-01,Expenditure,13826.0
2001-08-01,Expenditure,34301.0
2001-09-01,Expenditure,48982.0
2001-10-01,Expenditure,65656.0
2001-11-01,Expenditure,87617.0
2001-12-01,Expenditure,102161.0
2002-01-01,Expenditure,122427.0
2002-02-01,Expenditure,140384.0
2002-03-01,Expenditure,157592.0
2002-04-01,Expenditure,178254.0
2002-05-01,Expenditure,199168.0
2002-06-01,Expenditure,226915.0
2002-07-01,Expenditure,18788.0
2002-08-01,Expenditure,40394.0
2002-09-01,Expenditure,57835.0
2002-10-01,Expenditure,79246.0
2002-11-01,Expenditure,98673.0
2002-12-01,Expenditure,120750.0
2003-01-01,Expenditure,143691.0
2003-02-01,Expenditure,166298.0
2003-03-01,Expenditure,182121.0
2003-04-01,Expenditure,204334.0
2003-05-01,Expenditure,231008.0
2003-06-01,Expenditure,264144.0
2003-07-01,Expenditure,21550.0
2003-08-01,Expenditure,43727.5
2003-09-01,Expenditure,61255.0
2003-10-01,Expenditure,81284.0
2003-11-01,Expenditure,99017.0
2003-12-01,Expenditure,121787.0
2004-01-01,Expenditure,146010.0
2004-02-01,Expenditure,166639.0
2004-03-01,Expenditure,189421.0
2004-04-01,Expenditure,212748.0
2004-05-01,Expenditure,231631.0
2004-06-01,Expenditure,282187.0
2004-07-01,Expenditure,20442.0
2004-08-01,Expenditure,42375.0
2004-09-01,Expenditure,65938.0
2004-10-01,Expenditure,88779.0
2004-11-01,Expenditure,113258.0
2004-12-01,Expenditure,133636.0
2005-01-01,Expenditure,158123.0
2005-02-01,Expenditure,177963.0
2005-03-01,Expenditure,202253.0
2005-04-01,Expenditure,229954.0
2005-05-01,Expenditure,260792.0
2005-06-01,Expenditure,303705.0
2005-07-01,Expenditure,24667.0
2005-08-01,Expenditure,57152.0
2005-09-01,Expenditure,86552.0
2005-10-01,Expenditure,117838.0
2005-11-01,Expenditure,141294.0
2005-12-01,Expenditure,178688.0
2006-01-01,Expenditure,209791.0
2006-02-01,Expenditure,235256.0
2006-03-01,Expenditure,268415.0
2006-04-01,Expenditure,293650.0
2006-05-01,Expenditure,328887.0
2006-06-01,Expenditure,376482.0
2006-07-01,Expenditure,25912.0
2006-08-01,Expenditure,59357.0
2006-09-01,Expenditure,94368.0
2006-10-01,Expenditure,128369.0
2006-11-01,Expenditure,161110.9
2006-12-01,Expenditure,190768.8
2007-01-01,Expenditure,219726.0
2007-02-01,Expenditure,255437.0
2007-03-01,Expenditure,297635.0
2007-04-01,Expenditure,330864.0
2007-05-01,Expenditure,361686.0
2007-06-01,Expenditure,406752.0
2007-07-01,Expenditure,29293.0
2007-08-01,Expenditure,69646.0
2007-09-01,Expenditure,94822.0
2007-10-01,Expenditure,142819.0
2007-11-01,Expenditure,188538.0
2007-12-01,Expenditure,221958.0
2008-01-01,Expenditure,283616.0
2008-02-01,Expenditure,313971.0
2008-03-01,Expenditure,358594.0
2008-04-01,Expenditure,393926.0
2008-05-01,Expenditure,448685.0
2008-06-01,Expenditure,534841.0
2008-07-01,Expenditure,29520.0
2008-08-01,Expenditure,74643.0
2008-09-01,Expenditure,110066.0
2008-10-01,Expenditure,175858.0
2008-11-01,Expenditure,210510.0
2008-12-01,Expenditure,262945.0
2009-01-01,Expenditure,301536.0
2009-02-01,Expenditure,359383.0
2009-03-01,Expenditure,390126.0
2009-04-01,Expenditure,465124.0
2009-05-01,Expenditure,515703.0
2009-06-01,Expenditure,595598.0
2009-07-01,Expenditure,44788.0
2009-08-01,Expenditure,97645.0
2009-09-01,Expenditure,161013.0
2009-10-01,Expenditure,210729.0
2009-11-01,Expenditure,247746.0
2009-12-01,Expenditure,296132.0
2010-01-01,Expenditure,374246.0
2010-02-01,Expenditure,440026.0
2010-03-01,Expenditure,503084.0
2010-04-01,Expenditure,565112.0
2010-05-01,Expenditure,644544.0
2010-06-01,Expenditure,791793.0
2010-07-01,Expenditure,35933.0
2010-08-01,Expenditure,111784.0
2010-09-01,Expenditure,163463.0
2010-10-01,Expenditure,243482.0
2010-11-01,Expenditure,303566.0
2010-12-01,Expenditure,356722.7
2011-01-01,Expenditure,434101.5
2011-02-01,Expenditure,489364.0
2011-03-01,Expenditure,560000.0
2011-04-01,Expenditure,630136.0
2011-05-01,Expenditure,687598.0
2011-06-01,Expenditure,817089.0
2011-07-01,Expenditure,43719.0
2011-08-01,Expenditure,95881.0
2011-09-01,Expenditure,179625.0
2011-10-01,Expenditure,248301.0
2011-11-01,Expenditure,320069.0
2011-12-01,Expenditure,430925.6
2012-01-01,Expenditure,509200.2
2012-02-01,Expenditure,586553.0
2012-03-01,Expenditure,670182.0
2012-04-01,Expenditure,748694.3
2012-05-01,Expenditure,826227.3
2012-06-01,Expenditure,915888.0
2012-07-01,Expenditure,50032.2
2012-08-01,Expenditure,146185.1
2012-09-01,Expenditure,232292.1
2012-10-01,Expenditure,308459.1
2012-11-01,Expenditure,403066.9
2012-12-01,Expenditure,506411.6
2013-01-01,Expenditure,589548.7
2013-02-01,Expenditure,660191.4
2013-03-01,Expenditure,774077.0
2013-04-01,Expenditure,878171.6
2013-05-01,Expenditure,985521.3
2013-06-01,Expenditure,1263372.0
2013-07-01,Expenditure,49926.5
2013-08-01,Expenditure,145034.5
2013-09-01,Expenditure,264425.9
2013-10-01,Expenditure,352300.8
2013-11-01,Expenditure,458382.7
2013-12-01,Expenditure,556764.9
2014-01-01,Expenditure,669839.6
2014-02-01,Expenditure,745897.9
2014-03-01,Expenditure,827644.9
2014-04-01,Expenditure,940462.3
2014-05-01,Expenditure,1079699.9
2014-06-01,Expenditure,1281162.8
2014-07-01,Expenditure,49590.1
2014-08-01,Expenditure,141069.8
2014-09-01,Expenditure,261115.6
2014-10-01,Expenditure,373507.6
2014-11-01,Expenditure,490096.6
2014-12-01,Expenditure,613964.6
2015-01-01,Expenditure,764835.7
2015-02-01,Expenditure,864183.6
2015-03-01,Expenditure,1133135.2
2015-04-01,Expenditure,1264324.8
2015-05-01,Expenditure,1347642.8
2015-06-01,Expenditure,1605406.3
2015-07-01,Expenditure,56983.1
2015-08-01,Expenditure,138695.7
2015-09-01,Expenditure,254201.7
2015-10-01,Expenditure,396672.8
2015-11-01,Expenditure,607727.1
2015-12-01,Expenditure,769183.0
2016-01-01,Expenditure,888866.6
2016-02-01,Expenditure,927756.3
2016-03-01,Expenditure,1169664.6
2016-04-01,Expenditure,1338943.3
2016-05-01,Expenditure,1491551.6
2016-06-01,Expenditure,1776768.4
2016-07-01,Expenditure,63394.3
2016-08-01,Expenditure,191774.2
2016-09-01,Expenditure,379429.4
2016-10-01,Expenditure,528924.5
2016-11-01,Expenditure,745805.6
2016-12-01,Expenditure,904430.7
2017-01-01,Expenditure,1082905.3
2017-02-01,Expenditure,1241315.8
2017-03-01,Expenditure,1435099.3
2017-04-01,Expenditure,1657232.4
2017-05-01,Expenditure,1852299.6
2017-06-01,Expenditure,2163721.8
2017-07-01,Expenditure,84030.2
2017-08-01,Expenditure,229572.9
2017-09-01,Expenditure,375354.9
2017-10-01,Expenditure,548344.4
2017-11-01,Expenditure,718981.5
2017-12-01,Expenditure,928985.3
2018-01-01,Expenditure,1077038.7
2018-02-01,Expenditure,1260515.9
2018-03-01,Expenditure,1488656.5
2018-04-01,Expenditure,1646813.4
2018-05-01,Expenditure,1835852.9
2018-06-01,Expenditure,2111458.9
2018-07-01,Expenditure,91676.2
2018-08-01,Expenditure,252943.3
2018-09-01,Expenditure,452460.3
2018-10-01,Expenditure,619870.6
2018-11-01,Expenditure,852027.2
2018-12-01,Expenditure,1075460.8
2019-01-01,Expenditure,1291663.0
2019-02-01,Expenditure,1466099.3
2019-03-01,Expenditure,1644388.9
2019-04-01,Expenditure,1856598.5
2019-05-01,Expenditure,2069824.2
2019-06-01,Expenditure,2389528.7
2019-07-01,Expenditure,112974.7
2019-08-01,Expenditure,254886.0
2019-09-01,Expenditure,544625.8
2019-10-01,Expenditure,702578.5
2019-11-01,Expenditure,907017.8
2019-12-01,Expenditure,1218100.7
2020-01-01,Expenditure,1436864.1
2020-02-01,Expenditure,1614445.6
2020-03-01,Expenditure,1868242.2
2020-04-01,Expenditure,1970716.4
2020-05-01,Expenditure,2178898.0
2020-06-01,Expenditure,2565443.5
2020-07-01,Expenditure,94207.1
2020-08-01,Expenditure,333871.5
2020-09-01,Expenditure,510386.8
2020-10-01,Expenditure,721744.4
2020-11-01,Expenditure,931440.9
2020-12-01,Expenditure,1214844.2
2021-01-01,Expenditure,1347104.2
2021-02-01,Expenditure,1527119.2
2021-03-01,Expenditure,1820682.4
2021-04-01,Expenditure,2035661.3
2021-05-01,Expenditure,2242108.7
2021-06-01,Expenditure,2706297.6
2021-07-01,Expenditure,144673.9
2021-08-01,Expenditure,379199.7
2021-09-01,Expenditure,631662.0
2021-10-01,Expenditure,856194.9
2021-11-01,Expenditure,1079155.3
2021-12-01,Expenditure,1364879.3
2022-01-01,Expenditure,1544540.0
2022-02-01,Expenditure,1769417.6
2022-03-01,Expenditure,2069112.5
2022-04-01,Expenditure,2317661.0
2022-05-01,Expenditure,2560239.9
2022-06-01,Expenditure,3023183.1
2022-07-01,Expenditure,158765.7
2022-08-01,Expenditure,356871.5
2022-09-01,Expenditure,759515.6
2022-10-01,Expenditure,865971.9
2022-11-01,Expenditure,1094183.2
2022-12-01,Expenditure,1468815.4
2023-01-01,Expenditure,1611231.5
2023-02-01,Expenditure,1814364.3
2023-03-01,Expenditure,2209240.5
2023-04-01,Expenditure,2302078.7
2023-05-01,Expenditure,2534702.1
2023-06-01,Expenditure,3218186.9
2023-07-01,Expenditure,199611.1
2023-08-01,Expenditure,404834.3
2023-09-01,Expenditure,804196.4
2023-10-01,Expenditure,889368.3
2023-11-01,Expenditure,1160772.3
2023-12-01,Expenditure,1704832.5
2024-01-01,Expenditure,1815184.4
2024-02-01,Expenditure,2149032.2
2024-03-01,Expenditure,2395397.5
2024-04-01,Expenditure,2709750.5
2024-05-01,Expenditure,3010013.8
2024-06-01,Expenditure,3605209.6
2024-07-01,Expenditure,182700.9
2024-08-01,Expenditure,459297.1
2024-09-01,Expenditure,811217.0
2024-10-01,Expenditure,1084498.6
2024-11-01,Expenditure,1443115.5
2024-12-01,Expenditure,1795798.9
2025-01-01,Expenditure,2068187.5
1998-08-01,Exports,9149.2
1998-09-01,Exports,9861.4
1998-10-01,Exports,9883.6
1998-11-01,Exports,9088.9
1998-12-01,Exports,9596.7
1999-01-01,Exports,9006.8
1999-02-01,Exports,10614.5
1999-03-01,Exports,11911.4
1999-04-01,Exports,10154.3
1999-05-01,Exports,9849.7
1999-06-01,Exports,11968.3
1999-07-01,Exports,10400.9
1999-08-01,Exports,9477.6
1999-09-01,Exports,10111.3
1999-10-01,Exports,9589.3
1999-11-01,Exports,9860.1
1999-12-01,Exports,9633.8
2000-01-01,Exports,9124.3
2000-02-01,Exports,10712.9
2000-03-01,Exports,11886.7
2000-04-01,Exports,9448.2
2000-05-01,Exports,12673.8
2000-06-01,Exports,11997.2
2000-07-01,Exports,10910.1
2000-08-01,Exports,11722.9
2000-09-01,Exports,10186.0
2000-10-01,Exports,11936.7
2000-11-01,Exports,13014.9
2000-12-01,Exports,10913.4
2001-01-01,Exports,13537.0
2001-02-01,Exports,14127.7
2001-03-01,Exports,14168.6
2001-04-01,Exports,11410.6
2001-05-01,Exports,13419.0
2001-06-01,Exports,12934.3
2001-07-01,Exports,14850.5
2001-08-01,Exports,12561.6
2001-09-01,Exports,10451.9
2001-10-01,Exports,11671.7
2001-11-01,Exports,12601.7
2001-12-01,Exports,10977.6
2002-01-01,Exports,14456.6
2002-02-01,Exports,13337.5
2002-03-01,Exports,12923.7
2002-04-01,Exports,14677.0
2002-05-01,Exports,15656.6
2002-06-01,Exports,15583.5
2002-07-01,Exports,15561.8
2002-08-01,Exports,13409.6
2002-09-01,Exports,15179.0
2002-10-01,Exports,14691.7
2002-11-01,Exports,13977.4
2002-12-01,Exports,12391.7
2003-01-01,Exports,16737.4
2003-02-01,Exports,17195.9
2003-03-01,Exports,16120.9
2003-04-01,Exports,14890.1
2003-05-01,Exports,14806.6
2003-06-01,Exports,14592.0
2003-07-01,Exports,14483.3
2003-08-01,Exports,13742.0
2003-09-01,Exports,15000.1
2003-10-01,Exports,15378.5
2003-11-01,Exports,15740.8
2003-12-01,Exports,14433.6
2004-01-01,Exports,16390.6
2004-02-01,Exports,15500.4
2004-03-01,Exports,16695.2
2004-04-01,Exports,18170.8
2004-05-01,Exports,17922.6
2004-06-01,Exports,17722.2
2004-07-01,Exports,19067.2
2004-08-01,Exports,17556.4
2004-09-01,Exports,16552.3
2004-10-01,Exports,16939.2
2004-11-01,Exports,20567.8
2004-12-01,Exports,19518.0
2005-01-01,Exports,19840.1
2005-02-01,Exports,20532.6
2005-03-01,Exports,23126.8
2005-04-01,Exports,21207.1
2005-05-01,Exports,21873.1
2005-06-01,Exports,21902.7
2005-07-01,Exports,19731.8
2005-08-01,Exports,20577.2
2005-09-01,Exports,19969.2
2005-10-01,Exports,18642.9
2005-11-01,Exports,18141.0
2005-12-01,Exports,18187.3
2006-01-01,Exports,17178.2
2006-02-01,Exports,18039.7
2006-03-01,Exports,21124.1
2006-04-01,Exports,17908.9
2006-05-01,Exports,21399.7
2006-06-01,Exports,21789.4
2006-07-01,Exports,23207.7
2006-08-01,Exports,23308.9
2006-09-01,Exports,21555.2
2006-10-01,Exports,19910.0
2006-11-01,Exports,22852.4
2006-12-01,Exports,19626.0
2007-01-01,Exports,20877.7
2007-02-01,Exports,24216.7
2007-03-01,Exports,23512.6
2007-04-01,Exports,20466.7
2007-05-01,Exports,25044.5
2007-06-01,Exports,22814.0
2007-07-01,Exports,23684.5
2007-08-01,Exports,23890.6
2007-09-01,Exports,21264.5
2007-10-01,Exports,24684.3
2007-11-01,Exports,26073.8
2007-12-01,Exports,18066.0
2008-01-01,Exports,23753.5
2008-02-01,Exports,32327.2
2008-03-01,Exports,27115.5
2008-04-01,Exports,29186.2
2008-05-01,Exports,25739.6
2008-06-01,Exports,25309.9
2008-07-01,Exports,30338.9
2008-08-01,Exports,29753.4
2008-09-01,Exports,28487.6
2008-10-01,Exports,32540.2
2008-11-01,Exports,29058.7
2008-12-01,Exports,29343.8
2009-01-01,Exports,27359.8
2009-02-01,Exports,28676.2
2009-03-01,Exports,31469.7
2009-04-01,Exports,26348.3
2009-05-01,Exports,25778.3
2009-06-01,Exports,28166.2
2009-07-01,Exports,31533.1
2009-08-01,Exports,28046.4
2009-09-01,Exports,29076.8
2009-10-01,Exports,28344.3
2009-11-01,Exports,29878.8
2009-12-01,Exports,30270.9
2010-01-01,Exports,30602.6
2010-02-01,Exports,33354.8
2010-03-01,Exports,34743.9
2010-04-01,Exports,31269.3
2010-05-01,Exports,33241.7
2010-06-01,Exports,33039.5
2010-07-01,Exports,34835.4
2010-08-01,Exports,30309.8
2010-09-01,Exports,35043.8
2010-10-01,Exports,32252.4
2010-11-01,Exports,39282.1
